  Season	  TM	  G	  AB	   R	   H	  2B	  3B	  HR	 RBI	  BB	  SO	  SB	  CS	  AVG	  OBP	  SLG	 OPS
1979	Oak	89	351	49	96	13	3	1	26	34	39	33	11	.274	.338	.336	.674
1980	Oak	158	591	111	179	22	4	9	53	117	54	100	26	.303	.420	.399	.819
1981	Oak	108	423	89	135	18	7	6	35	64	68	56	22	.319	.408	.437	.845
1982	Oak	149	536	119	143	24	4	10	51	116	94	130	42	.267	.398	.382	.780
1983	Oak	145	513	105	150	25	7	9	48	103	80	108	19	.292	.414	.421	.835
1984	Oak	142	502	113	147	27	4	16	58	86	81	66	18	.293	.399	.458	.857
1985	NYY	143	547	146	172	28	5	24	72	99	65	80	10	.314	.419	.516	.935
1986	NYY	153	608	130	160	31	5	28	74	89	81	87	18	.263	.358	.469	.827
1987	NYY	95	358	78	104	17	3	17	37	80	52	41	8	.291	.423	.497	.920
1988	NYY	140	554	118	169	30	2	6	50	82	54	93	13	.305	.394	.399	.793
1989	NYY/Oak	150	541	113	148	26	3	12	57	126	68	77	14	.274	.411	.399	.810
1990	Oak	136	489	119	159	33	3	28	61	97	60	65	10	.325	.439	.577	1.016
1991	Oak	134	470	105	126	17	1	18	57	98	73	58	18	.268	.400	.423	.823
1992	Oak	117	396	77	112	18	3	15	46	95	56	48	11	.283	.426	.457	.883
1993	Oak/Tor	134	481	114	139	22	2	21	59	120	65	53	8	.289	.432	.474	.906
1994	Oak	87	296	66	77	13	0	6	20	72	45	22	7	.260	.411	.365	.776
1995	Oak	112	407	67	122	31	1	9	54	72	66	32	10	.300	.407	.447	.854
1996	SD	148	465	110	112	17	2	9	29	125	90	37	15	.241	.410	.344	.754
1997	Ana/SD	120	403	84	100	14	0	8	34	97	85	45	8	.248	.400	.342	.742
1998	Oak	152	542	101	128	16	1	14	57	118	114	66	13	.236	.376	.347	.723
1999	NYM	121	438	89	138	30	0	12	42	82	82	37	14	.315	.423	.466	.889
2000	Sea/NYM	123	420	75	98	14	2	4	32	88	75	36	11	.233	.368	.305	.673
2001	SD	123	379	70	86	17	3	8	42	81	84	25	7	.227	.366	.351	.717

