Team	League	G	Avg	OBP	Slg	AB	R	H	2B	3B	HR	RBI	BB	SO	HBP
Anaheim	American	162	0.261	0.327	0.405	5551	691	1447	275	26	158	662	494	1001	77
Baltimore	American	161	0.248	0.319	0.38	5472	687	1359	262	24	136	663	514	989	77
Boston	American	161	0.266	0.334	0.439	5605	772	1493	316	29	198	739	520	1131	70
Chicago	American	162	0.268	0.334	0.451	5464	798	1463	300	29	214	770	520	998	52
Cleveland	American	162	0.278	0.35	0.458	5600	897	1559	294	37	212	868	577	1076	69
Detroit	American	162	0.26	0.32	0.409	5537	724	1439	291	60	139	691	466	972	51
Kansas City	American	162	0.266	0.318	0.409	5643	729	1503	277	37	152	691	406	898	44
Minnesota	American	162	0.272	0.337	0.433	5560	771	1514	328	38	164	717	495	1083	64
New York	American	161	0.267	0.334	0.435	5577	804	1488	289	20	203	774	519	1035	64
Oakland	American	162	0.264	0.345	0.439	5573	884	1469	334	22	199	835	640	1021	88
Seattle	American	162	0.288	0.36	0.445	5680	927	1637	310	38	169	881	614	989	62
Tampa Bay	American	162	0.258	0.32	0.388	5524	672	1426	311	21	121	645	456	1116	54
Texas	American	162	0.275	0.344	0.471	5685	890	1566	326	23	246	844	548	1093	75
Toronto	American	162	0.263	0.325	0.43	5663	767	1489	287	36	195	728	470	1094	74
Arizona	National	162	0.267	0.341	0.442	5595	818	1494	284	35	208	776	587	1052	57
Atlanta	National	162	0.26	0.324	0.412	5498	729	1432	263	24	174	696	493	1039	45
Chicago	National	162	0.261	0.336	0.43	5406	777	1409	268	32	194	748	577	1077	66
Cincinnati	National	162	0.262	0.324	0.419	5583	735	1464	304	22	176	690	468	1172	65
Colorado	National	162	0.292	0.354	0.483	5690	923	1663	324	61	213	874	511	1027	61
Florida	National	162	0.264	0.326	0.423	5542	742	1461	325	30	166	713	470	1145	67
Houston	National	162	0.271	0.347	0.451	5528	847	1500	313	29	208	805	581	1119	89
Los Angeles	National	162	0.255	0.323	0.425	5493	758	1399	264	27	206	714	519	1062	56
Milwaukee	National	162	0.251	0.319	0.426	5488	740	1378	273	30	209	712	488	1399	72
Montreal	National	162	0.253	0.319	0.396	5379	670	1361	320	28	131	622	478	1071	60
New York	National	162	0.249	0.323	0.387	5459	642	1361	273	18	147	608	545	1062	65
Philadelphia	National	162	0.26	0.329	0.414	5497	746	1431	295	29	164	708	551	1125	43
Pittsburgh	National	162	0.247	0.313	0.393	5398	657	1333	256	25	161	618	467	1106	67
San Diego	National	162	0.252	0.336	0.399	5482	789	1379	273	26	161	753	678	1273	41
San Francisco	National	162	0.266	0.342	0.46	5612	799	1493	304	40	235	775	625	1090	50
St. Louis	National	162	0.27	0.339	0.441	5450	814	1469	274	32	199	768	529	1089	65
