YR      G    AB    R    H   2B  3B  HR  RBI   TB   AVG   OBP   SLG   OPS
1981   23    39    1    5    0   0   0    0    5  .128  .150  .128  .278
1982  160   598   90  158   32   5  28   93  284  .264  .317  .475  .792
1983  162   663  121  211   47   2  27  102  343  .318  .371  .517  .888
1984  162   641  103  195   37   7  27   86  327  .304  .374  .510  .884
1985  161   642  116  181   32   5  26  110  301  .282  .347  .469  .816
1986  162   627   98  177   35   1  25   81  289  .282  .355  .461  .816
1987  162   624   97  157   28   3  27   98  272  .252  .333  .436  .769
1988  161   575   87  152   25   1  23   81  248  .264  .372  .431  .803
1989  162   646   80  166   30   0  21   93  259  .257  .317  .401  .718
1990  161   600   78  150   28   4  21   84  249  .250  .341  .415  .756
1991  162   650   99  210   46   5  34  114  368  .323  .374  .566  .940
1992  162   637   73  160   29   1  14   72  233  .251  .323  .366  .689
1993  162   641   87  165   26   3  24   90  269  .257  .329  .420  .749
1994  112   444   71  140   19   3  13   75  204  .315  .364  .459  .823
1995  144   550   71  144   33   2  17   88  232  .262  .324  .422  .746
1996  163   640   94  178   40   1  26  102  298  .278  .341  .466  .807
1997  162   615   79  166   30   0  17   84  247  .270  .331  .402  .733
1998  161   601   65  163   27   1  14   61  234  .271  .331  .389  .720
1999   86   332   51  113   27   0  18   57  194  .340  .368  .584  .952
2000   83   309   43   79   16   0  15   56  140  .256  .310  .453  .763
2001  128   477   43  114   16   0  14   68  172  .239  .276  .361  .637

