YR	TEAM	LG	W	L	PCT	G	SV	IP	H	R	ER	SO	TBB	IBB	ERA
1984	Bos	AL	9	4	0.692	21	0	133.1	146	67	64	126	29	3	4.32
1985	Bos	AL	7	5	0.583	15	0	98.1	83	38	36	74	37	0	3.29
1986	Bos	AL	24	4	0.857	33	0	254	179	77	70	238	67	0	2.48
1987	Bos	AL	20	9	0.69	36	0	281.2	248	100	93	256	83	4	2.97
1988	Bos	AL	18	12	0.6	35	0	264	217	93	86	291	62	4	2.93
1989	Bos	AL	17	11	0.607	35	0	253.1	215	101	88	230	93	5	3.13
1990	Bos	AL	21	6	0.778	31	0	228.1	193	59	49	209	54	3	1.93
1991	Bos	AL	18	10	0.643	35	0	271.1	219	93	79	241	65	12	2.62
1992	Bos	AL	18	11	0.621	32	0	246.2	203	80	66	208	62	5	2.41
1993	Bos	AL	11	14	0.44	29	0	191.2	175	99	95	160	67	4	4.46
1994	Bos	AL	9	7	0.563	24	0	170.2	124	62	54	168	71	1	2.85
1995	Bos	AL	10	5	0.667	23	0	140	141	70	65	132	60	0	4.18
1996	Bos	AL	10	13	0.435	34	0	242.2	216	106	98	257	106	2	3.63
1997	Tor	AL	21	7	0.75	34	0	264	204	65	60	292	68	1	2.05
1998	Tor	AL	20	6	0.769	33	0	234.2	169	78	69	271	88	0	2.65
1999	NYY	AL	14	10	0.583	30	0	187.2	185	101	96	163	90	0	4.6
2000	NYY	AL	13	8	0.619	32	0	204.1	184	96	84	188	84	0	3.7
2001	NYY	AL	20	3	0.87	33	0	220.1	205	94	86	213	72	1	3.51
