Year	Player	Age	OBP	SLG	OPS	
1986	Bonds	22	0.33	0.416	0.746	
1987	Bonds	23	0.329	0.492	0.821	
1988	Bonds	24	0.368	0.491	0.859	
1989	Bonds	25	0.351	0.426	0.777	
1990	Bonds	26	0.406	0.565	0.971	
1991	Bonds	27	0.41	0.514	0.924	
1992	Bonds	28	0.456	0.624	1.08	
1993	Bonds	29	0.458	0.677	1.135	
1994	Bonds	30	0.426	0.647	1.073	
1995	Bonds	31	0.431	0.577	1.008	
1996	Bonds	32	0.461	0.615	1.076	
1997	Bonds	33	0.446	0.585	1.031	
1998	Bonds	34	0.438	0.609	1.047	
1999	Bonds	35	0.389	0.617	1.006	
2000	Bonds	36	0.45	0.707	1.157	
2001	Bonds	37	0.515	0.863	1.378	
1989	Griffey	19	0.329	0.42	0.749	
1990	Griffey	20	0.366	0.481	0.847	
1991	Griffey	21	0.399	0.527	0.926	
1992	Griffey	22	0.361	0.535	0.896	
1993	Griffey	23	0.408	0.617	1.025	
1994	Griffey	24	0.402	0.674	1.076	
1995	Griffey	25	0.379	0.481	0.86	
1996	Griffey	26	0.392	0.628	1.02	
1997	Griffey	27	0.382	0.646	1.028	
1998	Griffey	28	0.365	0.611	0.976	
1999	Griffey	29	0.384	0.576	0.96	
2000	Griffey	30	0.385	0.549	0.934	
2001	Griffey	31	0.365	0.533	0.898	
