Lastname	Firstname	Year	AB	H	2B	3B	HR	1B	SLG
Abreu	Bobby	1999	546	183	35	11	20	117	0.549450549
Alfonzo	Edgardo	1999	628	191	41	1	27	122	0.501592357
Allen	Chad	1999	481	133	21	3	10	99	0.395010395
Alomar	Roberto	1999	563	182	40	3	24	115	0.53285968
Anderson	Brady	1999	564	159	28	5	24	102	0.476950355
Anderson	Garret	1999	620	188	36	2	21	129	0.469354839
Anderson	Marlon	1999	452	114	26	4	5	79	0.360619469
Aurilia	Rich	1999	558	157	23	1	22	111	0.444444444
Ausmus	Brad	1999	458	126	25	6	9	86	0.414847162
Bagwell	Jeff	1999	562	171	35	0	42	94	0.590747331
Barrett	Michael	1999	433	127	32	3	8	84	0.436489607
Bell	David	1999	597	160	31	2	21	106	0.432160804
Bell	Derek	1999	509	120	22	0	12	86	0.349705305
Belle	Albert	1999	610	181	36	1	37	107	0.540983607
Belliard	Ron	1999	457	135	29	4	8	94	0.428884026
Bell	Jay	1999	589	170	32	6	38	94	0.556876061
Beltre	Adrian	1999	538	148	27	5	15	101	0.427509294
Beltran	Carlos	1999	663	194	27	7	22	138	0.453996983
Benard	Marvin	1999	562	163	36	5	16	106	0.457295374
Bichette	Dante	1999	593	177	38	2	34	103	0.541315346
Biggio	Craig	1999	639	188	56	0	16	116	0.456964006
Boone	Aaron	1999	472	132	26	5	14	87	0.444915254
Boone	Bret	1999	608	153	38	1	20	94	0.416118421
Bordick	Mike	1999	631	175	35	7	10	123	0.402535658
Brogna	Rico	1999	619	172	29	4	24	115	0.453957997
Brosius	Scott	1999	473	117	26	1	17	73	0.414376321
Burnitz	Jeromy	1999	467	126	33	2	33	58	0.561027837
Bush	Homer	1999	485	155	26	4	5	120	0.420618557
Cairo	Miguel	1999	465	137	15	5	3	114	0.367741935
Cameron	Mike	1999	542	139	34	9	21	75	0.468634686
Canseco	Jose	1999	430	120	18	1	34	67	0.562790698
Caruso	Mike	1999	529	132	11	4	2	115	0.296786389
Casey	Sean	1999	594	197	42	3	25	127	0.538720539
Castillo	Luis	1999	487	147	23	4	0	120	0.36550308
Castilla	Vinny	1999	615	169	24	1	33	111	0.47804878
Cedeno	Roger	1999	453	142	23	4	4	111	0.408388521
Cirillo	Jeff	1999	607	198	35	1	15	147	0.461285008
Clark	Tony	1999	536	150	29	0	31	90	0.507462687
Clayton	Royce	1999	465	134	21	5	14	94	0.44516129
Conine	Jeff	1999	444	129	31	1	13	84	0.452702703
Coomer	Ron	1999	467	123	25	1	16	81	0.423982869
Cordova	Marty	1999	425	121	28	3	14	76	0.463529412
Cruz	Deivi	1999	518	147	35	0	13	99	0.426640927
Damon	Johnny	1999	583	179	39	9	14	117	0.476843911
Davis	Chili	1999	476	128	25	1	19	83	0.445378151
Davis	Russ	1999	432	106	17	1	21	67	0.435185185
Delgado	Carlos	1999	573	156	39	0	44	73	0.570680628
Durham	Ray	1999	612	181	30	8	13	130	0.434640523
Dye	Jermaine	1999	608	179	44	8	27	100	0.526315789
Easley	Damion	1999	549	146	30	1	20	95	0.433515483
Encarnacion	Juan	1999	509	130	30	6	19	75	0.449901768
Erstad	Darin	1999	585	148	22	5	13	108	0.374358974
Everett	Carl	1999	464	151	33	3	25	90	0.57112069
Febles	Carlos	1999	453	116	22	9	10	75	0.410596026
Fernandez	Tony	1999	485	159	41	0	6	112	0.449484536
Finley	Steve	1999	590	156	32	10	34	80	0.525423729
Flaherty	John	1999	446	124	19	0	14	91	0.414798206
Fletcher	Darrin	1999	412	120	26	0	18	76	0.485436893
Gant	Ron	1999	516	134	27	5	17	85	0.430232558
