Team	League	Avg	OBP	Slg	AB	R	H	2B	3B	HR	RBI	BB	SO	HBP
Anaheim	American	0.28	0.352	0.472	5628	864	1574	309	34	236	837	608	1024	47
Baltimore	American	0.272	0.341	0.435	5549	794	1508	310	22	184	750	558	900	49
Boston	American	0.267	0.341	0.423	5630	792	1503	316	32	167	755	611	1019	42
Chicago	American	0.286	0.356	0.47	5646	978	1615	325	33	216	926	591	960	53
Cleveland	American	0.288	0.367	0.47	5683	950	1639	310	30	221	889	685	1057	51
Detroit	American	0.275	0.343	0.438	5644	823	1553	307	41	177	785	562	982	43
Kansas City	American	0.288	0.348	0.425	5709	879	1644	281	27	150	831	511	840	48
Minnesota	American	0.27	0.337	0.407	5615	748	1516	325	49	116	711	556	1021	35
New York	American	0.277	0.354	0.45	5556	871	1541	294	25	205	833	631	1007	57
Oakland	American	0.27	0.36	0.458	5560	947	1501	281	23	239	908	750	1159	52
Seattle	American	0.269	0.361	0.442	5497	907	1481	300	26	198	869	775	1073	48
Tampa Bay	American	0.257	0.329	0.399	5505	733	1414	253	22	162	692	559	1022	50
Texas	American	0.283	0.352	0.446	5648	848	1601	330	35	173	806	580	922	39
Toronto	American	0.275	0.341	0.469	5677	861	1562	328	21	244	826	526	1026	60
