TEAM	PRE_HR	PRE_AB	PRE_RATE	POST_HR	POST_AB	POST_RATE
Anaheim	141	3059	0.046	95	2569	0.037
Baltimore	117	2969	0.039	67	2580	0.026
Boston	98	2937	0.033	69	2693	0.026
Chi_AL	128	3057	0.042	88	2589	0.034
Cleveland	132	3017	0.044	89	2666	0.033
Detroit	103	2946	0.035	74	2698	0.027
Kansas City	93	2994	0.031	57	2715	0.021
Minnesota	73	3109	0.023	43	2506	0.017
NY_AL	100	2886	0.035	105	2670	0.039
Oakland	131	2956	0.044	108	2604	0.041
Seattle	111	2904	0.038	87	2593	0.034
Tampa Bay	91	2975	0.031	71	2530	0.028
Texas	108	2950	0.037	65	2698	0.024
Toronto	147	3146	0.047	97	2531	0.038
Arizona	110	3004	0.037	69	2523	0.027
Atlanta	109	2970	0.037	70	2519	0.028
Chi_NL	117	2982	0.039	66	2595	0.025
Cincinnati	113	3052	0.037	87	2583	0.034
Colorado	85	2904	0.029	76	2756	0.028
Florida	97	3002	0.032	63	2507	0.025
Houston	127	2958	0.043	122	2612	0.047
Los Angeles	129	2964	0.044	82	2517	0.033
Milwaukee	93	3039	0.031	84	2524	0.033
Montreal	101	2858	0.035	77	2677	0.029
NY_NL	112	2940	0.038	86	2546	0.034
Philadelphia	81	2952	0.027	63	2559	0.025
Pittsburgh	90	3010	0.03	78	2633	0.03
San Diego	99	2987	0.033	58	2573	0.023
San Francisco	127	2968	0.043	99	2551	0.039
St. Louis	149	2946	0.051	86	2532	0.034
