Team	Year	League	Avg	OBP	Slg	AB	R	H	2B	3B	HR	RBI	BB	SO	HBP
Anaheim	1999	American	0.256	0.322	0.395	5494	711	1404	248	22	158	673	511	1022	43
Baltimore	1999	American	0.279	0.353	0.447	5637	851	1572	299	21	203	804	615	890	61
Boston	1999	American	0.278	0.35	0.448	5579	836	1551	334	42	176	808	597	928	55
Chicago	1999	American	0.277	0.337	0.429	5644	777	1563	298	37	162	742	499	810	34
Cleveland	1999	American	0.289	0.373	0.467	5634	1009	1629	309	32	209	960	743	1099	55
Detroit	1999	American	0.261	0.326	0.443	5481	747	1433	289	34	212	704	458	1049	82
Kansas City	1999	American	0.282	0.348	0.433	5624	856	1584	294	52	151	800	535	932	64
Minnesota	1999	American	0.264	0.328	0.384	5495	686	1450	285	30	105	643	500	978	49
New York	1999	American	0.282	0.366	0.453	5568	900	1568	302	36	193	855	718	978	55
Oakland	1999	American	0.259	0.355	0.446	5519	893	1430	287	20	235	845	770	1129	71
Seattle	1999	American	0.269	0.343	0.455	5572	859	1499	263	21	244	825	610	1095	42
Tampa Bay	1999	American	0.274	0.343	0.411	5586	772	1531	272	29	145	728	544	1042	64
Texas	1999	American	0.293	0.361	0.479	5651	945	1653	304	29	230	897	611	937	29
Toronto	1999	American	0.28	0.352	0.457	5642	883	1580	337	14	212	856	578	1077	76
Arizona	1999	National	0.277	0.347	0.459	5658	908	1566	289	46	216	865	588	1045	48
Atlanta	1999	National	0.266	0.341	0.436	5569	840	1481	309	23	197	791	608	962	53
Chicago	1999	National	0.257	0.329	0.42	5482	747	1411	255	35	189	717	571	1170	39
Cincinnati	1999	National	0.272	0.341	0.451	5649	865	1536	312	37	209	820	569	1125	45
Colorado	1999	National	0.288	0.348	0.472	5717	906	1644	305	39	223	863	508	863	43
Florida	1999	National	0.263	0.325	0.395	5578	691	1465	266	44	128	655	479	1145	59
Houston	1999	National	0.267	0.355	0.42	5485	823	1463	293	23	168	784	728	1138	52
Los Angeles	1999	National	0.266	0.339	0.42	5567	793	1480	253	23	187	761	594	1030	52
Milwaukee	1999	National	0.273	0.353	0.426	5582	815	1524	299	30	165	777	658	1065	55
Montreal	1999	National	0.265	0.323	0.427	5559	718	1473	320	47	163	680	438	939	53
New York	1999	National	0.279	0.363	0.434	5572	853	1553	297	14	181	814	717	994	48
Philadelphia	1999	National	0.275	0.351	0.431	5598	841	1539	302	44	161	797	631	1081	46
Pittsburgh	1999	National	0.259	0.334	0.419	5468	775	1417	282	40	171	735	573	1197	60
San Diego	1999	National	0.252	0.332	0.393	5394	710	1360	256	22	153	671	631	1169	35
San Francisco	1999	National	0.271	0.356	0.434	5563	872	1507	307	18	188	828	696	1028	60
St. Louis	1999	National	0.262	0.338	0.426	5570	809	1461	274	27	194	763	613	1202	51
Anaheim	2000	American	0.28	0.352	0.472	5628	864	1574	309	34	236	837	608	1024	47
Baltimore	2000	American	0.272	0.341	0.435	5549	794	1508	310	22	184	750	558	900	49
Boston	2000	American	0.267	0.341	0.423	5630	792	1503	316	32	167	755	611	1019	42
Chicago	2000	American	0.286	0.356	0.47	5646	978	1615	325	33	216	926	591	960	53
Cleveland	2000	American	0.288	0.367	0.47	5683	950	1639	310	30	221	889	685	1057	51
Detroit	2000	American	0.275	0.343	0.438	5644	823	1553	307	41	177	785	562	982	43
Kansas City	2000	American	0.288	0.348	0.425	5709	879	1644	281	27	150	831	511	840	48
Minnesota	2000	American	0.27	0.337	0.407	5615	748	1516	325	49	116	711	556	1021	35
New York	2000	American	0.277	0.354	0.45	5556	871	1541	294	25	205	833	631	1007	57
Oakland	2000	American	0.27	0.36	0.458	5560	947	1501	281	23	239	908	750	1159	52
Seattle	2000	American	0.269	0.361	0.442	5497	907	1481	300	26	198	869	775	1073	48
Tampa Bay	2000	American	0.257	0.329	0.399	5505	733	1414	253	22	162	692	559	1022	50
Texas	2000	American	0.283	0.352	0.446	5648	848	1601	330	35	173	806	580	922	39
Toronto	2000	American	0.275	0.341	0.469	5677	861	1562	328	21	244	826	526	1026	60
Arizona	2000	National	0.265	0.333	0.429	5527	792	1466	282	44	179	756	535	975	59
Atlanta	2000	National	0.271	0.346	0.429	5489	810	1490	274	26	179	758	595	1010	59
Chicago	2000	National	0.256	0.335	0.411	5577	764	1426	272	23	183	722	632	1120	54
Cincinnati	2000	National	0.274	0.343	0.447	5635	825	1545	302	36	200	794	559	995	64
Colorado	2000	National	0.294	0.362	0.455	5660	968	1664	320	53	161	905	601	907	42
Florida	2000	National	0.262	0.331	0.409	5509	731	1441	274	29	160	691	540	1184	60
Houston	2000	National	0.278	0.361	0.477	5570	938	1547	289	36	249	900	673	1129	83
Los Angeles	2000	National	0.257	0.341	0.431	5481	798	1408	265	28	211	756	668	1083	51
Milwaukee	2000	National	0.246	0.325	0.403	5563	740	1366	297	25	177	708	620	1245	61
Montreal	2000	National	0.266	0.326	0.432	5535	738	1475	310	35	178	705	476	1048	29
New York	2000	National	0.263	0.346	0.43	5486	807	1445	282	20	198	761	675	1037	45
Philadelphia	2000	National	0.251	0.329	0.4	5511	708	1386	304	40	144	668	611	1117	44
Pittsburgh	2000	National	0.267	0.339	0.424	5643	793	1506	320	31	168	749	564	1032	66
San Diego	2000	National	0.254	0.33	0.402	5560	752	1413	279	37	157	714	602	1177	46
San Francisco	2000	National	0.278	0.362	0.472	5519	925	1535	304	44	226	889	709	1032	51
St. Louis	2000	National	0.27	0.356	0.455	5478	887	1481	259	25	235	841	675	1253	84
