GAME	PA	HR
1	5	1
2	5	0
3	4	0
4	4	0
5	4	0
6	5	0
7	5	0
8	4	1
9	5	1
10	5	1
11	4	1
12	4	1
13	4	1
14	3	0
15	4	1
16	1	0
17	4	0
18	4	1
19	5	0
20	5	1
21	3	0
22	4	1
23	5	0
24	5	1
25	5	1
26	4	1
27	5	0
28	1	0
29	4	0
30	4	0
31	3	0
32	5	1
33	4	0
34	4	0
35	5	0
36	4	0
37	4	1
38	4	1
39	5	3
40	4	2
41	4	1
42	5	1
43	4	0
44	4	1
45	4	0
46	4	1
47	5	0
48	8	0
49	4	2
50	5	1
51	5	0
52	3	0
53	4	1
54	5	1
55	5	1
56	4	0
57	5	0
58	4	0
59	4	1
60	4	0
61	5	1
62	4	2
63	3	0
64	4	0
65	7	1
66	5	1
67	5	0
68	5	1
69	5	0
70	4	0
71	5	0
72	5	0
73	4	0
74	4	0
75	4	0
76	5	0
77	5	0
78	5	0
79	5	0
80	3	0
81	7	0
82	5	1
83	5	0
84	4	0
85	5	0
86	4	0
87	4	0
88	3	2
89	5	0
90	4	0
91	4	0
92	3	0
93	4	0
94	4	0
95	1	0
96	5	2
97	5	1
98	5	0
99	4	0
100	6	0
101	4	1
102	4	0
103	3	1
104	5	0
105	6	1
106	5	0
107	5	1
108	5	1
109	5	0
110	5	1
111	4	0
112	4	2
113	4	0
114	4	1
115	4	0
116	5	0
117	4	0
118	1	1
119	4	0
120	5	0
121	4	0
122	5	1
123	4	0
124	4	0
125	5	0
126	4	1
127	1	0
128	4	0
129	4	1
130	4	1
131	3	0
132	5	1
133	6	0
134	5	0
135	6	3
136	4	0
137	4	0
138	5	1
139	4	0
140	4	0
141	5	2
142	5	1
143	5	0
144	5	0
145	5	1
146	4	1
147	4	0
148	5	0
149	5	0
150	5	1
151	5	2
152	1	0
153	4	1
