Date	Opp	AB	R	H	2B	3B	HR	RBI	TBB	IBB	SO	SB	CS	ERR
4/3/01	@Cin	4	0	0	0	0	0	0	0	0	1	0	0	1
4/4/01	@Cin	4	0	1	0	0	0	1	0	0	0	0	0	0
4/5/01	@Cin	3	0	1	0	0	0	0	0	0	0	0	0	0
4/6/01	@Hou	4	0	0	0	0	0	0	0	0	1	0	0	1
4/8/01	@Hou	3	3	3	0	0	3	6	1	0	0	0	0	1
4/9/01	Cin	4	1	1	0	0	0	0	0	0	0	0	0	0
4/11/01	Cin	3	2	3	1	0	0	1	1	0	0	0	0	1
4/12/01	Cin	4	1	1	0	0	0	0	0	0	2	0	0	1
4/13/01	@ChC	4	0	0	0	0	0	0	0	0	2	0	0	0
4/14/01	@ChC	4	1	1	0	0	1	1	0	0	1	0	0	0
4/15/01	@ChC	3	0	0	0	0	0	0	1	0	0	0	0	0
4/16/01	Hou	4	0	1	0	0	0	2	0	0	2	0	0	0
4/18/01	Hou	4	1	2	0	0	1	3	0	0	0	0	0	0
4/21/01	ChC	4	0	0	0	0	0	0	0	0	2	0	0	1
4/22/01	ChC	4	0	0	0	0	0	0	1	0	0	0	0	0
4/24/01	@LA	4	1	1	0	0	0	1	0	0	0	0	0	0
4/25/01	@LA	4	0	2	1	0	0	2	0	0	1	0	0	0
4/26/01	@LA	4	0	1	0	0	0	0	0	0	1	0	0	0
4/27/01	@SD	4	1	1	0	0	1	1	0	0	0	0	0	1
4/28/01	@SD	3	0	0	0	0	0	0	1	0	2	0	0	0
4/29/01	@SD	3	0	1	1	0	0	0	1	0	0	0	0	0
5/1/01	SF	2	0	0	0	0	0	0	2	0	1	0	1	0
5/2/01	SF	4	1	2	1	0	1	1	1	0	1	0	0	0
5/3/01	SF	4	2	2	0	0	2	2	0	0	0	0	0	0
5/4/01	Col	2	0	0	0	0	0	0	1	0	0	0	0	0
5/5/01	Col	4	1	2	2	0	0	4	1	0	0	0	0	0
5/6/01	Col	5	0	2	0	0	0	1	0	0	0	0	0	0
5/7/01	@StL	4	0	0	0	0	0	0	0	0	1	0	0	1
5/8/01	@StL	4	1	1	0	0	0	0	0	0	2	0	0	0
5/9/01	@StL	3	0	2	2	0	0	0	1	0	0	0	0	0
5/10/01	@StL	4	0	0	0	0	0	0	0	0	2	0	0	0
5/11/01	@Mil	3	0	1	1	0	0	1	1	1	1	0	0	0
5/12/01	@Mil	6	1	2	0	0	0	0	0	0	1	0	0	0
5/13/01	@Mil	3	0	0	0	0	0	0	0	0	1	0	0	0
5/14/01	@Mil	5	1	3	1	0	0	0	0	0	0	1	0	0
5/15/01	StL	4	0	1	0	0	0	0	0	0	1	0	0	0
5/16/01	StL	4	0	0	0	0	0	0	0	0	1	0	0	1
5/17/01	StL	3	1	1	0	0	1	1	0	0	1	0	0	0
5/19/01	Mil	3	0	1	0	0	0	1	1	0	0	0	0	0
5/20/01	Mil	4	0	0	0	0	0	0	1	0	0	0	0	0
5/23/01	@Phi	4	0	1	0	0	0	0	0	0	1	0	0	0
5/23/01	@Phi	4	0	1	0	0	0	1	0	0	1	0	0	0
5/24/01	@Phi	3	0	0	0	0	0	1	0	0	3	0	0	0
5/25/01	@Atl	3	0	1	0	0	0	0	1	0	1	0	0	0
5/26/01	@Atl	4	1	2	0	0	1	1	0	0	1	0	0	2
5/27/01	@Atl	2	0	2	0	0	0	1	1	0	0	0	0	0
5/28/01	Fla	4	1	1	0	0	0	1	0	0	2	0	0	0
5/29/01	Fla	4	0	0	0	0	0	0	0	0	0	0	0	0
5/30/01	Fla	4	0	1	1	0	0	1	0	0	0	0	0	0
6/1/01	Atl	4	0	0	0	0	0	0	0	0	2	0	0	0
6/3/01	Atl	5	1	1	0	0	0	0	0	0	0	0	0	0
6/3/01	Atl	4	1	1	0	0	1	1	0	0	0	0	0	0
6/5/01	@Fla	4	0	1	0	0	0	1	1	1	0	0	0	0
6/6/01	@Fla	3	0	0	0	0	0	0	1	0	0	0	0	0
6/7/01	@Fla	4	1	2	1	0	0	0	0	0	1	0	0	0
6/8/01	@Min	5	0	2	0	0	0	1	0	0	2	0	0	0
6/9/01	@Min	4	0	1	0	0	0	0	0	0	0	0	0	0
6/10/01	@Min	5	0	2	1	0	0	0	0	0	1	0	0	0
6/12/01	@Det	3	1	1	0	0	0	0	2	0	0	0	0	0
6/13/01	@Det	3	1	1	1	0	0	0	1	0	1	0	0	0
6/14/01	@Det	4	0	1	0	0	0	1	0	0	0	0	0	0
6/15/01	Cle	4	1	1	0	0	0	1	0	0	1	0	0	0
6/16/01	Cle	4	0	0	0	0	0	0	0	0	1	0	0	0
6/17/01	Cle	4	0	1	1	0	0	1	0	0	1	0	0	1
6/19/01	Phi	4	1	3	1	0	0	1	0	0	0	0	0	0
6/20/01	Phi	4	0	0	0	0	0	0	0	0	0	0	0	1
6/21/01	Phi	4	0	1	1	0	0	0	0	0	0	0	0	0
6/22/01	Mon	4	0	1	0	0	0	0	0	0	1	0	0	0
6/23/01	Mon	3	1	1	0	0	0	0	0	0	0	0	0	0
6/24/01	Mon	4	0	2	1	0	0	1	0	0	1	0	0	1
6/25/01	Mil	4	1	2	0	0	1	2	0	0	0	0	0	0
6/26/01	Mil	5	2	3	1	0	1	2	1	0	0	0	0	0
6/27/01	Mil	4	0	2	0	0	0	2	0	0	1	0	0	0
6/28/01	Mil	3	1	1	0	0	0	0	0	0	0	1	0	0
6/29/01	@Mon	3	0	1	1	0	0	0	0	0	0	0	0	0
6/30/01	@Mon	5	1	1	0	0	0	0	0	0	0	0	0	0
7/1/01	@Mon	4	0	0	0	0	0	1	0	0	0	1	0	0
7/2/01	@Cin	4	2	3	1	0	1	5	1	0	0	0	0	1
7/3/01	@Cin	4	0	1	0	0	0	0	0	0	0	0	0	0
7/4/01	@Cin	6	1	4	2	0	0	3	0	0	0	0	0	0
7/5/01	@Cin	4	0	1	1	0	0	0	0	0	1	0	0	0
7/6/01	@CWS	4	2	1	0	0	0	0	1	0	1	0	0	0
