	Avg	G	AB	R	H	2B	3B	HR	RBI	SB	CS	TBB	HBP	SO	OBP	SLG
Total	0.372	160	580	138	216	59	2	42	147	5	3	103	461.463.698			
vs. Left	0.329	---	143	---	47	15	1	7	31	2	0	30	2	16	0.451	0.594
vs. Right	0.387	---	437	---	169	44	1	35	116	3	3	73	2	45	0.467	0.732
Home	0.391	81	302	92	118	28	1	27	88	3	1	58	2	30	0.484	0.758
Away	0.353	79	278	46	98	31	1	15	59	2	2	45	2	31	0.441	0.633
None on	0.34	---	294	---	100	33	1	22	22	0	0	33	1	30	0.409	0.684
Runners on	0.406	---	286	---	116	26	1	20	125	5	3	70	3	31	0.512	0.713
April	0.337	25	89	22	30	7	2	6	25	0	0	17	1	10	0.44	0.663
May	0.512	23	82	32	42	7	0	11	26	0	0	18	0	9	0.588	1
June	0.315	25	92	25	29	11	0	4	17	2	1	17	0	11	0.422	0.565
July	0.34	29	106	17	36	10	0	4	19	0	1	16	1	6	0.427	0.547
August	0.476	29	105	22	50	18	0	7	32	2	0	17	2	7	0.548	0.848
September	0.267	28	101	19	27	6	0	9	25	1	1	18	0	17	0.369	0.594
October	0.4	1	5	1	2	0	0	1	3	0	0	0	0	1	0.4	1
None on/out	0.314	---	140	---	44	14	1	9	9	0	0	14	0	10	0.377	0.621
Scoring Posn	0.392	---	153	---	60	16	0	15	110	3	0	52	2	20	0.525	0.791
ScPos/2 Out	0.321	---	56	---	18	7	0	5	31	1	0	29	1	10	0.558	0.714
Close & Late	0.393	---	84	---	33	5	0	9	22	0	1	17	0	6	0.495	0.774
Bases Loaded	0.583	---	12	---	7	2	0	0	20	0	0	4	0	0	0.647	0.75
Batting #3	0.311	---	90	12	28	9	0	3	15	1	0	12	0	11	0.385	0.511
Batting #4	0.391	---	243	66	95	24	1	22	75	1	2	57	2	31	0.497	0.77
Batting #5	0.38	---	245	60	93	26	1	17	57	3	1	34	2	19	0.459	0.702
Batting #6	0	---	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Batting #9	0	---	1	0	0	0	0	0	0	0	0	0	0	0	0	0
As 1b	0.374	---	578	138	216	59	2	42	147	5	3	103	4	61	0.465	0.701
As ph (not dh	0	---	2	0	0	0	0	0	0	0	0	0	0	0	0	0
All PH	0	---	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0-0 count	0.375	---	96	---	36	9	0	6	18	---	--	18	2	0	0.479	0.656
After (0-1)	0.357	---	238	---	85	24	1	13	57	---	--	19	1	37	0.399	0.63
After (1-0)	0.386	---	246	---	95	26	1	23	72	---	--	66	1	24	0.511	0.78
Two strikes	0.336	---	268	---	90	23	2	12	63	---	--	27	0	61	0.393	0.571
Grass	0.367	142	521	123	191	52	2	37	128	3	3	90	3	55	0.457	0.687
Turf	0.424	18	59	15	25	7	0	5	19	2	0	13	1	6	0.52	0.797
Day	0.391	57	215	54	84	22	0	18	56	4	1	35	0	26	0.47	0.744
Night	0.362	103	365	84	132	37	2	24	91	1	2	68	4	35	0.459	0.671
Inning 1-6	0.379	156	398	92	151	47	2	25	98	5	2	65	3	41	0.462	0.696
Inning 7+	0.357	148	182	46	65	12	0	17	49	0	1	38	1	20	0.466	0.703
vs.Ana	0.3	3	10	1	3	1	0	0	1	0	0	1	0	0	0.364	0.4
vs.Mil	0.351	9	37	7	13	5	0	2	10	0	0	5	0	1	0.419	0.649
vs.Oak	0.538	3	13	5	7	2	0	2	6	0	0	3	0	2	0.625	1.154
vs.Sea	0.182	3	11	0	2	0	0	0	0	0	0	2	0	3	0.308	0.182
vs.Tex	0.231	3	13	3	3	1	0	0	0	0	1	1	0	2	0.286	0.308
vs.Atl	0.294	9	34	3	10	0	0	3	7	0	0	7	0	3	0.415	0.559
vs.ChC	0.114	9	35	5	4	1	0	1	2	0	0	6	0	9	0.244	0.229
vs.Cin	0.257	9	35	7	9	4	0	3	8	0	0	1	0	3	0.278	0.629
vs.Hou	0.481	9	27	12	13	1	0	6	11	0	0	12	0	2	0.625	1.185
vs.LA	0.255	13	47	7	12	3	0	1	10	0	0	7	1	8	0.351	0.383
vs.Mon	0.625	9	32	12	20	1	0	5	15	1	0	8	0	2	0.683	1.125
vs.NYM	0.478	7	23	9	11	8	1	2	5	0	0	5	1	3	0.586	1.174
vs.Phi	0.531	9	32	9	17	4	0	2	10	0	0	4	0	5	0.583	0.844
vs.Pit	0.5	9	32	8	16	3	0	3	11	1	0	5	1	2	0.55	0.875
vs.StL	0.4	8	25	10	10	3	0	3	12	0	0	8	1	3	0.543	0.88
vs.SD	0.396	13	48	6	19	6	0	2	7	0	1	7	0	3	0.464	0.646
vs.SF	0.404	13	47	16	19	8	0	1	7	1	1	12	0	6	0.525	0.638
vs.Fla	0.457	9	35	8	16	5	1	3	12	1	0	4	0	2	0.5	0.914
vs.Ari	0.273	13	44	10	12	3	0	3	13	1	0	5	0	2	0.347	0.545
Pre-All Star	0.383	83	298	83	114	28	2	21	70	2	2	58	1	32	0.479	0.701
Post-All Star	0.362	77	282	55	102	31	0	21	77	3	1	45	3	29	0.446	0.695
