Name	2000 Home	2000 Away	2000 Effect	1999 Home	1999 Away	1999 Effect
Rodriquez	272	356	-84	284	286	-2
Belle	273	288	-15	304	289	15
Bonds	321	291	30	247	276	-29
Jones	323	299	24	366	275	91
Martinez	304	341	-37	360	308	52
Helton	391	353	38	385	252	133
Jeter	338	340	-2	329	369	-40
Justice	291	281	10	305	267	38
Griffey	289	254	35	288	283	5
Caminiti	242	350	-108	295	276	19
Kent	335	333	2	246	332	-86
Loften	274	286	-12	272	330	-58
Rameriz	357	345	12	311	354	-43
Garciaparra	375	370	5	378	331	47
Palmeiro	292	285	7	325	323	2
Alomar	314	306	8	333	313	20
Rolen	327	274	53	266	271	-5
Sosa	306	332	-26	325	252	73
Thomas	347	309	38	310	299	11
Thome	309	230	79	282	273	9
