BATTER	TEAM	BA	SLG	OBA	G	AB	R	H	TB	2B	3B	HR	RBI	BB	SO	SB	CS
Wooten	ANGELS	0.556	0.667	0.556	7	9	2	5	6	1	0	0	1	0	0	0	0
Johnson	ANGELS	0.5	0.5	0.667	6	4	2	2	2	0	0	0	0	2	0	0	0
DiSarcina	ANGELS	0.395	0.526	0.425	12	38	6	15	20	2	0	1	11	1	3	0	1
Erstad	ANGELS	0.355	0.541	0.409	157	676	121	240	366	39	6	25	100	64	82	28	8
Luuloa	ANGELS	0.333	0.333	0.368	6	18	3	6	6	0	0	0	0	1	1	0	0
Palmeiro	ANGELS	0.3	0.399	0.395	108	243	38	73	97	20	2	0	25	38	20	4	1
Salmon	ANGELS	0.29	0.54	0.404	158	568	108	165	307	36	2	34	97	104	139	0	2
Anderson	ANGELS	0.286	0.519	0.307	159	647	92	185	336	40	3	35	117	24	87	7	6
Glaus	ANGELS	0.284	0.604	0.404	159	563	120	160	340	37	1	47	102	112	163	14	11
Molina	ANGELS	0.281	0.421	0.318	130	473	59	133	199	20	2	14	71	23	33	1	0
Vaughn	ANGELS	0.272	0.498	0.365	161	614	93	167	306	31	0	36	117	79	181	2	0
Kennedy	ANGELS	0.266	0.403	0.3	156	598	82	159	241	33	11	9	72	28	73	22	8
Spiezio	ANGELS	0.242	0.465	0.334	123	297	47	72	138	11	2	17	49	40	56	1	2
Gil	ANGELS	0.239	0.352	0.317	110	301	28	72	106	14	1	6	23	30	59	10	6
Gant	ANGELS	0.232	0.512	0.379	34	82	15	19	42	3	1	6	16	20	18	1	2
Baughman	ANGELS	0.227	0.318	0.261	16	22	4	5	7	2	0	0	0	1	2	3	0
Stocker	ANGELS	0.219	0.318	0.326	110	343	41	75	109	20	4	2	24	51	81	1	5
Clemente	ANGELS	0.218	0.244	0.228	46	78	4	17	19	2	0	0	5	0	27	0	1
Walbeck	ANGELS	0.199	0.356	0.24	47	146	17	29	52	5	0	6	12	7	22	0	1
Durrington	ANGELS	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0
Colangelo	ANGELS	---	---	---	0	0	0	0	0	0	0	0	0	0	0	0	0
DaVanon	ANGELS	---	---	---	0	0	0	0	0	0	0	0	0	0	0	0	0
Kinkade	ORIOLES	0.429	0.571	0.5	3	7	0	3	4	1	0	0	1	0	0	0	0
Fordyce	ORIOLES	0.301	0.507	0.341	93	302	41	91	153	18	1	14	49	17	50	0	0
Clark	ORIOLES	0.301	0.473	0.413	79	256	49	77	121	15	1	9	28	47	45	4	2
Bordick	ORIOLES	0.297	0.481	0.35	100	391	70	116	188	22	1	16	59	34	71	6	5
DeShields	ORIOLES	0.296	0.444	0.369	151	561	84	166	249	43	5	10	86	69	82	37	10
Surhoff	ORIOLES	0.292	0.453	0.341	103	411	56	120	186	27	0	13	57	29	46	7	2
Mora	ORIOLES	0.291	0.397	0.359	53	199	25	58	79	9	3	2	17	17	32	5	8
Conine	ORIOLES	0.284	0.438	0.341	119	409	53	116	179	20	2	13	46	36	53	4	3
Belle	ORIOLES	0.281	0.474	0.342	141	559	71	157	265	37	1	23	103	52	68	0	5
Richard	ORIOLES	0.276	0.563	0.335	56	199	38	55	112	14	2	13	36	15	38	7	5
Morales	ORIOLES	0.273	0.364	0.273	3	11	1	3	4	1	0	0	0	0	3	0	0
Lewis	ORIOLES	0.27	0.411	0.322	71	163	19	44	67	17	0	2	21	12	31	7	2
Anderson	ORIOLES	0.257	0.421	0.375	141	506	89	130	213	26	0	19	50	92	103	16	9
Ripken	ORIOLES	0.256	0.453	0.31	83	309	43	79	140	16	0	15	56	23	37	0	0
Hairston	ORIOLES	0.256	0.367	0.353	49	180	27	46	66	5	0	5	19	21	22	8	5
Kingsale	ORIOLES	0.239	0.284	0.253	26	88	13	21	25	2	1	0	9	2	14	1	2
Matos	ORIOLES	0.225	0.308	0.281	72	182	21	41	56	6	3	1	17	12	30	13	4
Myers	ORIOLES	0.224	0.344	0.271	43	125	9	28	43	6	0	3	12	8	29	0	0
Amaral	ORIOLES	0.217	0.267	0.299	30	60	10	13	16	1	1	0	6	7	8	6	2
Coffie	ORIOLES	0.217	0.317	0.284	23	60	6	13	19	4	1	0	6	5	11	1	0
Hubbard	ORIOLES	0.185	0.259	0.185	31	27	3	5	7	0	1	0	0	0	3	2	1
Minor	ORIOLES	0.131	0.143	0.17	32	84	4	11	12	1	0	0	3	3	20	0	0
Casimiro	ORIOLES	0.125	0.25	0.125	2	8	0	1	2	1	0	0	3	0	2	0	0
Lunar	ORIOLES	0.125	0.125	0.176	9	16	0	2	2	0	0	0	1	0	4	0	0
K. Garcia	ORIOLES	0.091	0.091	0.091	16	33	1	3	3	0	0	0	0	0	10	0	0
J. Garcia	ORIOLES	0.059	0.059	0.158	14	17	2	1	1	0	0	0	0	2	2	0	0
Garciaparra	RED_SOX	0.372	0.599	0.434	140	529	104	197	317	51	3	21	96	61	50	5	2
Merloni	RED_SOX	0.32	0.438	0.341	40	128	10	41	56	11	2	0	18	4	22	1	0
Everett	RED_SOX	0.3	0.587	0.373	137	496	82	149	291	32	4	34	108	52	113	11	4
Bichette	RED_SOX	0.289	0.518	0.336	30	114	13	33	59	5	0	7	14	8	22	0	0
Alcantara	RED_SOX	0.289	0.578	0.333	21	45	9	13	26	1	0	4	7	3	7	0	0
Frye	RED_SOX	0.289	0.356	0.364	69	239	35	69	85	13	0	1	13	28	38	1	3
Burkhart	RED_SOX	0.288	0.493	0.442	25	73	16	21	36	3	0	4	18	17	25	0	0
Cummings	RED_SOX	0.277	0.383	0.341	98	206	29	57	79	10	0	4	24	17	28	0	0
Nixon	RED_SOX	0.276	0.461	0.368	123	427	66	118	197	27	8	12	60	63	85	8	1
Hatteberg	RED_SOX	0.265	0.435	0.367	92	230	21	61	100	15	0	8	36	38	39	0	1
O'Leary	RED_SOX	0.261	0.411	0.32	138	513	68	134	211	30	4	13	70	44	76	0	2
Valentin	RED_SOX	0.257	0.457	0.297	10	35	6	9	16	1	0	2	2	2	5	0	1
Offerman	RED_SOX	0.255	0.359	0.354	116	451	73	115	162	14	3	9	41	70	70	0	8
Pride	RED_SOX	0.25	0.3	0.286	9	20	4	5	6	1	0	0	0	1	7	0	0
Daubach	RED_SOX	0.248	0.448	0.315	142	495	55	123	222	32	2	21	76	44	130	1	1
Varitek	RED_SOX	0.248	0.388	0.342	139	448	55	111	174	31	1	10	65	60	84	1	1
Veras	RED_SOX	0.244	0.299	0.278	49	164	21	40	49	7	1	0	14	7	20	0	0
Lewis	RED_SOX	0.241	0.307	0.305	97	270	44	65	83	12	0	2	17	22	34	10	5
Gilkey	RED_SOX	0.231	0.341	0.327	36	91	11	21	31	5	1	1	9	10	12	0	0
Sadler	RED_SOX	0.222	0.303	0.262	49	99	14	22	30	5	0	1	10	5	18	3	1
