Game	Date	Opp 	AB	H			
1	4/5/99	@Fla	4	2			
2	4/6/99	@Fla	4	1			
3	4/7/99	@Fla	4	1			
4	4/8/99	@Mon	2	0			
5	4/9/99	@Mon	3	0	33	11	0.333
6	4/10/99	@Mon	5	3	31	9	0.29
7	4/11/99	@Mon	5	4	31	10	0.323
8	4/12/99	Fla	3	0	30	10	0.333
9	4/14/99	Fla	3	0	30	12	0.4
10	4/15/99	Fla	2	0	31	13	0.419
11	4/16/99	Mon	4	2	27	10	0.37
12	4/17/99	Mon	3	1	26	8	0.308
13	4/18/99	Mon	2	2	27	9	0.333
14	4/20/99	@Cin	4	1	28	10	0.357
15	4/21/99	@Cin	1	0	28	10	0.357
16	4/22/99	@Cin	4	2	27	10	0.37
17	4/23/99	@ChC	4	1	29	12	0.414
18	4/24/99	@ChC	4	1	30	11	0.367
19	4/25/99	@ChC	2	0	31	11	0.355
20	4/27/99	SD	3	2	33	12	0.364
21	4/28/99	SD	5	3	32	12	0.375
22	4/29/99	SD	3	1	31	12	0.387
23	4/30/99	SF	5	1	30	11	0.367
24	5/1/99	SF	3	1	30	11	0.367
25	5/2/99	SF	3	2	30	9	0.3
26	5/3/99	Hou	3	1	29	7	0.241
27	5/4/99	Hou	3	0	27	6	0.222
28	5/5/99	Hou	2	0	25	6	0.24
29	5/7/99	@Ari	3	0	25	6	0.24
30	5/8/99	@Ari	4	1	26	5	0.192
31	5/9/99	@Ari	1	0	25	5	0.2
32	5/10/99	@Col	3	1	25	7	0.28
33	5/11/99	@Col	3	1	27	8	0.296
34	5/12/99	@Col	4	1	27	10	0.37
35	5/14/99	@Phi	2	1	28	10	0.357
36	5/15/99	@Phi	3	2	30	12	0.4
37	5/16/99	@Phi	4	1	29	12	0.414
38	5/17/99	Mil	3	2	30	14	0.467
39	5/18/99	Mil	5	1	29	14	0.483
40	5/20/99	Mil	3	2	32	16	0.5
41	5/20/99	Mil	2	1	32	14	0.438
42	5/21/99	Phi	4	3	32	14	0.438
43	5/22/99	Phi	3	1	34	14	0.412
44	5/23/99	Phi	5	3	32	13	0.406
45	5/24/99	@Pit	3	0	33	12	0.364
46	5/25/99	@Pit	4	1	34	11	0.324
47	5/26/99	@Pit	5	2	34	10	0.294
48	5/28/99	Ari	3	0	35	10	0.286
49	5/29/99	Ari	4	1	33	7	0.212
50	5/30/99	Ari	3	0	33	7	0.212
51	5/31/99	Cin	4	2	34	8	0.235
52	6/1/99	Cin	4	1	33	7	0.212
53	6/2/99	Cin	3	0	33	7	0.212
54	6/4/99	@NYY	3	0	33	8	0.242
55	6/5/99	@NYY	5	2	35	8	0.229
56	6/6/99	@NYY	4	1	37	7	0.189
57	6/7/99	Tor	3	0	37	7	0.189
58	6/8/99	Tor	4	2	38	8	0.211
59	6/9/99	Tor	5	0	36	8	0.222
60	6/11/99	Bos	6	1	35	8	0.229
61	6/12/99	Bos	4	1	35	7	0.2
62	6/13/99	Bos	4	1	36	7	0.194
63	6/14/99	@Cin	1	0	36	6	0.167
64	6/15/99	@Cin	4	2	35	7	0.2
65	6/16/99	@Cin	4	0	33	8	0.242
66	6/17/99	@StL	4	0	33	8	0.242
67	6/18/99	@StL	4	1	33	8	0.242
68	6/19/99	@StL	4	1	35	9	0.257
69	6/20/99	@StL	4	2	37	11	0.297
70	6/22/99	Fla	4	1	38	12	0.316
71	6/23/99	Fla	4	1	37	12	0.324
72	6/24/99	Fla	3	1	35	12	0.343
73	6/25/99	@Atl	6	4	34	11	0.324
74	6/26/99	@Atl	5	1	31	10	0.323
75	6/27/99	@Atl	3	0	31	10	0.323
76	6/28/99	@Fla	2	1	28	9	0.321
77	6/29/99	@Fla	3	0	28	9	0.321
78	6/30/99	@Fla	1	1	26	7	0.269
79	7/1/99	@Fla	4	1	24	7	0.292
80	7/2/99	Atl	1	0	25	8	0.32
81	7/3/99	Atl	3	1	25	8	0.32
82	7/4/99	Atl	4	2	26	10	0.385
83	7/5/99	Mon	3	1	27	10	0.37
84	7/6/99	Mon	4	1	26	9	0.346
85	7/7/99	Mon	2	1	27	9	0.333
86	7/8/99	Mon	4	2	26	8	0.308
87	7/9/99	NYY	2	1	26	7	0.269
88	7/10/99	NYY	3	0	26	8	0.308
89	7/11/99	NYY	2	0	26	8	0.308
90	7/15/99	@TB	2	0	28	8	0.286
91	7/16/99	@TB	4	1	28	6	0.214
92	7/17/99	@TB	3	2	30	6	0.2
93	7/18/99	@Bal	4	1	32	8	0.25
94	7/19/99	@Bal	4	1	34	10	0.294
95	7/20/99	@Bal	4	0	34	10	0.294
96	7/21/99	@Mon	4	1	33	9	0.273
97	7/22/99	@Mon	5	2	33	7	0.212
98	7/23/99	ChC	4	2	34	7	0.206
