	OUT	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	3
OUTS	RUNNERS	0	3	2	23	1	13	12	123	0	3	2	23	1	13	12	123	0	3	2	23	1	13	12	123	
0	0	489	129	845		4584				12052																
0	3rd	4	1	16		47	32			60	102	1		2				1								
0	2nd	25	8	70	14	83	132	145		4	410	517		31				16								
0	"2, 3"	7	1	15	1	19	18		38		37	22	107					1	1							1
0	1	94	30	62	157		232	751		3	12	667		1569				463								
0	"1, 3"	9	4	6	13		18	54	31	1	2	27	24	63	117	18		37	10	1		1				1
0	"1, 2 "	23	7	15	22		38	47	129	1		1	126	6	110	324			85	16		9				1
0	"1, 2, 3"	9	1	2	3		11	11	20				11		24	15	72		15		10	2	1	2		1
1	0									310	90	584		3171				8738								
1	3rd									16	5	52		160	114			202	297	9		28				14
1	2nd									54	19	119	11	171	161	409		9	477	1115		31				30
1	"2, 3"									7	8	28	1	31	41	2	200	5	76	35	189	5	16	10		7
1	1									103	31	74	142		233	873		6	15	458		1826				589
1	"1, 3"									28	7	8	34		34	101	70	1	3	61	19	126	191	28		115
1	"1, 2 "									37	12	31	57	1	62	81	242		6	11	145	11	177	619		234
1	"1, 2, 3"									16	5	7	29		14	34	93		2	5	38	6	71	50	189	92
2	0																	253	61	413		2666				6945
2	3rd																	30	6	63		212	192			818
2	2nd																	51	22	152		271	93	598		1904
2	"2, 3"																	11	6	26		66	10	1	220	443
2	1																	127	35	95	95	1	253	830		2935
2	"1, 3"																	33	14	20	38		49	114	83	736
2	"1, 2 "																	47	26	47	57		124	120	247	1622
2	"1, 2, 3"																	19	6	16	24		41	31	81	580
