OUT	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	3
RUNNERS	0	3	2	23	1	13	12	123	0	3	2	23	1	13	12	123	0	3	2	23	1	13	12	123	
0	1	0.81	0.62		0.36				-0.22																
3rd	1.19	1	0.81		0.55	0.32			-0.03	-0.36	-0.62		-0.79				-1.2								
2nd	1.38	1.19	1	0.65	0.74	0.51	0.28		0.16	-0.17	-0.43		-0.6				-1.01								
"2, 3"	1.73	1.54	1.35	1	1.09	0.86		0.39		0.18	-0.08	-0.44	-0.25	-0.65	-0.9		-0.66	-1.38							-1.76
1	1.64	1.45	1.26	0.91		0.77	0.54		0.42	0.09	-0.17		-0.34				-0.75								
"1, 3"	1.87	1.68	1.49	1.14		1	0.77	0.53	0.65	0.32	0.06	-0.3	-0.11	-0.51	-0.76		-0.52	-1.24	-1.31		-1.39				-1.62
"1, 2 "	2.1	1.91	1.72	1.37		1.23	1	0.76	0.88		0.29	-0.07	0.12	-0.28	-0.53			-1.01	-1.08		-1.16				-1.39
"1, 2, 3"	2.34	2.15	1.96	1.61		1.47	1.24	1				0.17	0	-0.04	-0.29	-0.76		-0.77		-1.63	-0.92	-1.67	-1.73		-2.15
0									1	0.67	0.41		0.25				-0.17								
3rd									1.33	1	0.74		0.57	0.17			0.16	-0.56	-0.63		-0.71				-0.94
2nd									1.59	1.27	1	0.64	0.84	0.44	0.19		0.43	-0.29	-0.36		-0.44				-0.68
"2, 3"									1.95	1.62	1.36	1	1.19	0.79	0.54	0.07	0.78	0.06	-0.01	-0.8	-0.09	-0.84	-0.9		-1.32
1									1.76	1.43	1.16	0.81		0.6	0.35		0.59	-0.13	-0.2		-0.28				-0.51
"1, 3"									2.15	1.83	1.56	1.21		1	0.75	0.28	0.99	0.27	0.2	-0.6	0.12	-0.64	-0.69		-1.11
"1, 2 "									2.41	2.08	1.81	1.46	1.65	1.25	1	0.53		0.52	0.45	-0.35	0.37	-0.39	-0.44		-0.86
"1, 2, 3"									2.87	2.55	2.28	1.93		1.72	1.47	1		0.99	0.92	0.12	0.84	0.08	0.03	-0.74	-1.39
0																	1	0.28	0.21		0.13				-0.1
3rd																	1.72	1	0.93		0.85	0.1			-0.38
2nd																	1.79	1.07	1		0.92	0.17	0.11		-0.31
"2, 3"																	2.58	1.87	1.8		1.72	0.96	0.91	0.14	-0.52
1																	1.87	1.15	1.08	0.29	1	0.25	0.19		-0.23
"1, 3"																	2.62	1.91	1.84	1.04		1	0.95	0.18	-0.48
"1, 2 "																	2.68	1.96	1.89	1.09		1.05	1	0.23	-0.42
"1, 2, 3"																	3.45	2.73	2.66	1.86		1.82	1.77	1	-0.65
