	Avg	OBP	Slg	AB	R	H	2B	3B	HR	RBI
Anaheim	0.256	0.322	0.395	5494	711	1404	248	22	158	673
Baltimore	0.279	0.353	0.447	5637	851	1572	299	21	203	804
Boston	0.278	0.35	0.448	5579	836	1551	334	42	176	808
Chicago	0.277	0.337	0.429	5644	777	1563	298	37	162	742
Cleveland	0.289	0.373	0.467	5634	1009	1629	309	32	209	960
Detroit	0.261	0.326	0.443	5481	747	1433	289	34	212	704
Kansas_City	0.282	0.348	0.433	5624	856	1584	294	52	151	800
Minnesota	0.264	0.328	0.384	5495	686	1450	285	30	105	643
New_York	0.282	0.366	0.453	5568	900	1568	302	36	193	855
Oakland	0.259	0.355	0.446	5519	893	1430	287	20	235	845
Seattle	0.269	0.343	0.455	5572	859	1499	263	21	244	825
Tampa_Bay	0.274	0.343	0.411	5586	772	1531	272	29	145	728
Texas	0.293	0.361	0.479	5651	945	1653	304	29	230	897
Toronto	0.28	0.352	0.457	5642	883	1580	337	14	212	856
