TEAM	LEAGUE	HR
MIN	American	105
KC	American	151
TB	American	145
DET	American	212
ANA	American	158
CHI	American	162
BAL	American	203
SEA	American	244
TOR	American	212
OAK	American	235
BOS	American	176
TEX	American	230
CLE	American	209
NY	American	193
FLA	National	128
CHI	National	189
MON	National	163
COL	National	223
SD	National	153
MIL	National	165
STL	National	194
LA	National	187
PHI	National	161
PIT	National	171
SF	National	188
CIN	National	209
NY	National	181
HOU	National	168
ARI	National	216
ATL	National	197
