Team	SOR	BOR	ERA	PCT	HG	HRG	RG
COL	6.37	3.13	6.03	0.444	10.49	1.46	6.34
NY	7.19	4.39	4.27	0.595	8.41	0.98	4.36
ARI	7.39	3.62	3.77	0.617	8.56	1.08	4.17
PHI	6.35	3.89	4.93	0.475	9.22	1.3	5.22
MIL	6.13	4.08	5.08	0.46	10.04	1.32	5.5
CIN	6.63	3.49	3.99	0.589	8.03	1.16	4.36
SF	6.64	4.29	4.71	0.531	9.17	1.19	5.12
HOU	7.43	4.49	3.84	0.599	9.16	0.79	4.16
ATL	7.38	3.75	3.65	0.636	8.62	0.87	4.08
LA	6.64	3.66	4.45	0.475	8.87	1.18	4.85
MON	6.43	2.7	4.69	0.42	9.29	0.93	5.26
FLA	5.82	2.95	4.9	0.395	9.62	1.05	5.25
STL	6.36	3.8	4.76	0.466	9.43	1	5.2
PIT	6.72	3.55	4.35	0.484	8.96	0.99	4.85
CHI	6.04	3.52	5.27	0.414	9.99	1.36	5.67
SD	6.65	3.89	4.47	0.457	8.97	1.19	4.82
