Date	AB	H	CAB	CH
4/5/99	3	1	3	1
4/6/99	4	1	7	2
4/7/99	4	1	11	3
4/8/99	3	1	14	4
4/9/99	3	0	17	4
4/10/99	4	0	21	4
4/11/99	0	0	21	4
4/12/99	5	2	26	6
4/14/99	5	1	31	7
4/16/99	6	3	37	10
4/17/99	5	1	42	11
4/18/99	5	3	47	14
4/19/99	4	0	51	14
4/20/99	4	3	55	17
4/21/99	3	1	58	18
4/23/99	3	1	61	19
4/24/99	4	1	65	20
4/25/99	4	1	69	21
4/27/99	5	3	74	24
4/28/99	4	1	78	25
4/29/99	4	0	82	25
4/30/99	5	1	87	26
5/1/99	4	1	91	27
5/2/99	4	2	95	29
5/3/99	4	0	99	29
5/4/99	4	1	103	30
5/7/99	3	2	106	32
5/8/99	3	2	109	34
5/9/99	4	1	113	35
5/10/99	5	2	118	37
5/11/99	3	1	121	38
5/12/99	4	2	125	40
5/14/99	4	0	129	40
5/15/99	5	3	134	43
5/16/99	3	1	137	44
5/17/99	5	1	142	45
5/18/99	5	1	147	46
5/19/99	1	0	148	46
5/21/99	5	3	153	49
5/22/99	4	2	157	51
5/23/99	4	2	161	53
5/24/99	4	1	165	54
5/25/99	5	1	170	55
5/26/99	3	0	173	55
5/28/99	5	1	178	56
5/29/99	3	1	181	57
5/30/99	3	0	184	57
5/31/99	4	0	188	57
6/1/99	6	2	194	59
6/3/99	5	0	199	59
6/4/99	6	4	205	63
6/5/99	5	2	210	65
6/6/99	5	2	215	67
6/7/99	4	2	219	69
6/8/99	4	1	223	70
6/9/99	5	3	228	73
6/11/99	4	1	232	74
6/12/99	5	2	237	76
6/13/99	4	0	241	76
6/15/99	5	1	246	77
6/16/99	5	2	251	79
6/17/99	5	2	256	81
6/18/99	4	1	260	82
6/19/99	4	1	264	83
6/20/99	3	1	267	84
6/22/99	4	1	271	85
6/23/99	3	0	274	85
6/24/99	5	1	279	86
6/25/99	4	2	283	88
6/27/99	5	2	288	90
6/28/99	4	0	292	90
6/29/99	4	2	296	92
6/30/99	5	2	301	94
7/1/99	4	1	305	95
7/2/99	5	3	310	98
7/3/99	5	3	315	101
7/4/99	5	1	320	102
7/5/99	5	2	325	104
7/7/99	5	2	330	106
7/9/99	5	2	335	108
7/10/99	4	0	339	108
7/11/99	4	2	343	110
7/15/99	5	3	348	113
7/16/99	4	2	352	115
7/17/99	6	4	358	119
7/18/99	5	1	363	120
7/19/99	5	2	368	122
7/20/99	6	3	374	125
7/21/99	5	3	379	128
7/22/99	4	0	383	128
7/23/99	4	1	387	129
7/23/99	4	2	391	131
7/24/99	4	2	395	133
7/25/99	4	0	399	133
7/27/99	4	0	403	133
7/28/99	4	1	407	134
7/29/99	5	3	412	137
7/30/99	5	0	417	137
7/31/99	4	0	421	137
8/1/99	4	1	425	138
8/3/99	5	2	430	140
8/4/99	4	3	434	143
8/5/99	4	2	438	145
8/6/99	5	1	443	146
8/7/99	5	1	448	147
8/8/99	0	0	448	147
8/9/99	5	1	453	148
8/10/99	4	1	457	149
8/11/99	4	1	461	150
8/13/99	5	2	466	152
8/14/99	4	2	470	154
8/15/99	3	0	473	154
8/17/99	5	3	478	157
8/18/99	4	2	482	159
8/20/99	4	2	486	161
8/21/99	4	1	490	162
8/22/99	0	0	490	162
8/28/99	5	1	495	163
8/29/99	5	3	500	166
8/30/99	5	1	505	167
8/31/99	4	0	509	167
9/1/99	5	1	514	168
9/2/99	4	2	518	170
9/3/99	4	1	522	171
9/4/99	3	2	525	173
9/5/99	4	0	529	173
9/6/99	5	1	534	174
9/7/99	5	2	539	176
9/8/99	3	0	542	176
9/9/99	1	0	543	176
9/10/99	3	0	546	176
9/11/99	4	3	550	179
9/12/99	5	1	555	180
9/13/99	3	0	558	180
9/14/99	4	1	562	181
9/15/99	6	5	568	186
9/17/99	4	1	572	187
9/18/99	4	2	576	189
9/19/99	4	1	580	190
9/20/99	5	2	585	192
9/22/99	5	2	590	194
9/23/99	5	1	595	195
9/24/99	4	1	599	196
9/25/99	3	0	602	196
9/26/99	4	1	606	197
9/28/99	4	2	610	199
9/29/99	5	2	615	201
10/1/99	5	2	620	203
10/2/99	5	1	625	204
10/3/99	3	0	628	204
