GAME	Date	IP	ER	CIP	CER
1	4/9/99	7	3	7	3
2	4/17/99	7.2	1	14.67	4
3	4/22/99	6.2	4	21.33	8
4	4/27/99	6.2	3	28	11
5	5/2/99	3.1	8	31.33	19
6	5/8/99	3.2	5	35	24
7	5/14/99	6.2	2	41.67	26
8	5/19/99	8	1	49.67	27
9	5/25/99	7	1	56.67	28
10	5/31/99	6	1	62.67	29
11	6/6/99	6	2	68.67	31
12	6/12/99	6.1	3	75	34
13	6/18/99	5.2	3	80.67	37
14	6/23/99	7	4	87.67	41
15	6/28/99	7	1	94.67	42
16	7/3/99	2	8	96.67	50
17	7/8/99	7	1	103.67	51
18	7/17/99	4	4	107.67	55
19	7/22/99	6	4	113.67	59
20	7/27/99	8	5	121.67	64
21	8/1/99	8	5	129.67	69
22	8/7/99	5	7	134.67	76
23	8/13/99	7	1	141.67	77
24	8/18/99	6	5	147.67	82
25	8/23/99	8	4	155.67	86
26	8/28/99	8	0	163.67	86
27	9/2/99	7	1	170.67	87
28	9/7/99	6	2	176.67	89
29	9/13/99	5.2	5	182.33	94
30	9/18/99	6.2	3	189	97
31	9/23/99	5	6	194	103
32	9/29/99	7	5	201	108
33	10/3/99	1	3	202	111
