NAME	HOME_AB	HOME_H	HOME_AVG	AWAY_AB	AWAY_H	AWAY_AVG
Desi Relaford	246	70	285	248	51	206
Tony Clark	296	86	291	306	89	291
Jose Cruz Jr.	188	45	239	164	44	268
Bret Boone	293	77	263	290	78	269
Rico Brogna	275	77	280	290	73	252
Chris Widger	214	51	238	203	46	227
Lenny Webster	165	55	333	144	33	229
Fernando Tatis	287	84	293	245	63	257
John Mabry	174	44	253	203	50	246
Travis Lee	286	81	283	276	70	254
Matt Williams	262	73	279	248	63	254
Charlie Hayes	165	51	309	164	43	262
Kevin Orie	168	31	185	211	52	246
Ricky Gutierrez	239	60	251	252	68	270
Lee Stevens	168	57	339	176	34	193
Stan Javier	197	65	330	220	56	255
Fernando Vina	314	85	271	323	113	350
Brad Ausmus	199	61	307	213	50	235
Bill Spiers	191	50	262	193	55	285
Pat Meares	261	76	291	282	65	230
						
