NAME	PRE_AB	PRE_H	PRE_AVG	POST_AB	POST_H	POST_AVG
Desi Relaford	252	75	298	242	46	190
Tony Clark	309	85	275	293	90	307
Jose Cruz Jr.	159	34	214	193	55	285
Bret Boone	337	96	285	246	59	240
Rico Brogna	301	81	269	264	69	261
Chris Widger	270	61	226	147	36	245
Lenny Webster	163	42	258	146	46	315
Fernando Tatis	268	73	272	264	74	280
John Mabry	213	56	263	164	38	232
Travis Lee	338	96	284	224	55	246
Matt Williams	317	86	271	193	50	259
Charlie Hayes	189	57	302	140	37	264
Kevin Orie	173	30	173	206	53	257
Ricky Gutierrez	244	71	291	247	57	231
Lee Stevens	220	54	245	124	37	298
Stan Javier	280	77	275	137	44	321
Fernando Vina	341	104	305	296	94	318
Brad Ausmus	219	55	251	193	56	290
Bill Spiers	213	62	291	171	43	251
Pat Meares	296	75	253	247	66	267
