NAME	AHEAD_AB	AHEAD_H	AHEAD_AVG	2ST_AB	2ST_H	2ST_AVG
Desi Relaford	87	32	368	230	39	170
Tony Clark	120	53	442	292	53	182
Jose Cruz Jr.	76	20	263	161	23	143
Bret Boone	132	44	333	291	64	220
Rico Brogna	116	36	310	274	56	204
Chris Widger	77	21	273	212	46	217
Lenny Webster	84	28	333	119	26	218
Fernando Tatis	102	39	382	270	54	200
John Mabry	74	19	257	173	26	150
Travis Lee	108	33	306	257	43	167
Matt Williams	110	39	355	203	33	163
Charlie Hayes	78	30	385	151	27	179
Kevin Orie	79	19	241	159	27	170
Ricky Gutierrez	76	22	289	229	48	210
Lee Stevens	70	20	286	160	21	131
Stan Javier	92	36	391	175	30	171
Fernando Vina	158	59	373	191	42	220
Brad Ausmus	95	37	389	161	27	168
Bill Spiers	86	34	395	166	33	199
Pat Meares	116	39	336	240	45	188
						
