NAME	1998_HOME_AVG	1998_AWAY_AVG	1999_HOME_AVG	1999_AWAY_AVG
Desi Relaford	285	206	245	239
Tony Clark	291	291	261	296
Jose Cruz Jr.	239	268	267	210
Bret Boone	263	269	271	234
Rico Brogna	280	252	303	255
Chris Widger	238	227	294	229
Lenny Webster	333	229	148	87
Fernando Tatis	293	257	276	321
John Mabry	253	246	223	265
Travis Lee	283	254	301	181
Matt Williams	279	254	279	326
Charlie Hayes	309	262	202	207
Kevin Orie	185	246	262	246
Ricky Gutierrez	251	270	303	214
Lee Stevens	339	193	275	290
Stan Javier	330	255	269	298
Fernando Vina	271	350	230	300
Brad Ausmus	307	235	291	259
Bill Spiers	262	285	260	315
Pat Meares	291	230	152	397
